context_en,questions_en,answers_en,answer_start,answer_end
"The Swazi economy is very closely linked to the economy of South Africa, from which it receives more than 90% of its imports and to which it sends about 70% of its exports. Swaziland's other major trading partners are the United States and the European Union, from which the country has received trade preferences for apparel exports (African Growth and Opportunity Act – EGEA – for the USA) and for sugar (for the EU). . Under these agreements, both apparel and Chinese exports did well with rapid growth and a strong inflow of foreign direct investment. Textile exports grew by more than 200% between 2000 and 2005 with Chinese exports growing by more than 50% over the same period.",What happened to Swazi exports of textiles from 2000 to 2005?,Exports increased by more than 200%,164,199
"Phage therapy is another option being looked at to treat resistant strains of bacteria. The way researchers are doing this is by infecting pathogenic bacteria with their own viruses, more specifically, bacteriophages. Bacteriophages, also known simply as phages, are virulent bacterial viruses that infect bacteria by disrupting pathogenic bacterial lytic cycles. By disrupting the lytic cycles of bacteria, phages destroy their metabolism, which ultimately results in cell death. The phages will insert their DNA into the bacteria, allowing their DNA to be transcribed. Once their DNA has been transferred the cell will proceed to form new phages and as they are ready to be released, the cell will lyse. One of the concerns with using phages to fight pathogens is that the phages will infect ""good"" bacteria, or bacteria that are important in humans' everyday function. However, studies have proven that the phages are very specific when they target bacteria, which leads researchers to believe that sterile therapy is the surest path to defeat antibiotic-resistant bacteria.",What has been talked about to treat resistant bacteria?,phage therapy,0,13
"After the earthquake, Joseph gave even more power to his prime minister, and Sebastião de Mello became a powerful, progressive dictator. As his power grew, his enemies increased in number, and bitter disputes with the higher nobility became frequent. Joseph I was wounded in the assassination in 1758. The Tavara family and the Duke of Aveiro were implicated and executed after a quick trial. The Jesuits were expelled from the country and their property was confiscated from the crown. Sebastião de Mello included everyone, even women and children. This was the final stroke that broke the power of the elite. Joseph I counted his faithful ministers in 1759.",Ultimately break the power of the elite?,"Sebastião de Mello included everyone, even women and children",77,138
"In the judgment of political scientist Randall Ripley since 1883, ""The candidate for president nominated by the minority party is clearly the minority leader."" However, this claim is subject to dispute. On December 3, 1883, the house elected Democrat John G. Carlisle of Kentucky as speaker. The Republicans placed in nomination for the Speakership Jay. Warren Keefer of Ohio, who was the previous congressman. Obviously, Kiefer was not the Republican minority leader. He was a disgraced leader because as Speaker he arbitrarily ""gave away choice jobs to relatives. All at handsome salaries. Kiefer received"" the empty honor of minority nomination. But with it came a sting – because it naturally ""He was heralded as a national figure by his [partisan] colleagues and his career."" Representative Thomas Reed, R-Me., who later became speaker, supported Keifer's membership in the minority. Played the real role of bottom leader. ""[A]lthough Keifer was the minority candidate for speaker, Reed became its acknowledged leader, and ever, as long as he served in the house, the most distinguished member of his party.","Although Kiefer played the minority leader role, who was the leader of the real gloves?","Thomas Reed,",280,292
"However, it should be stressed that for Whitehead God is not tied to religion. Rather than springing primarily from religious faith, Whitehead saw God as essential to his spiritual system. His system required that there exist an order among the possibilities, an order that permitted novelty in the world and provided a purpose to all entities. Whitehead said that these ordered capacities exist in what he called God's primitive nature. However, Whitehead was also interested in religious experience. This led him to reflect more intensely on what he saw as God's second nature, the consequential nature. Whitehead's concept of God as a ""dipolar"" entity has called for fresh theological thinking.",Why did Whitehead see the existence of God as a necessity for his metaphysical system?,"His system required that there exist an order among the possibilities, an order that permitted novelty in the world and provided a purpose to all entities.",9,164
"Whitehead's most complete work on education is 1929's The Aim of Education and Other Essays, which collected numerous essays and addresses by Whitehead on the subject published between 1912 and 1927. The essay from which The Purpose of Education takes its name was given in 1916 when Whitehead was president of the London branch of the Mathematical Association. In it, he warned against teaching what he called ""idle ideas"" – ideas that are disconnected scraps of information with no application to real life or culture. He said that ""Education with idle ideas is not only useless: it is, above all things, harmful.",What was the purpose of education and other essays?,Several Essays and Addresses,85,113
"Later in 2013, West launched a tirade on Twitter, directed at talk show host Jimmy Kimmel after his ABC program Jimmy Kimmel Live! On September 25, a sketch ran featuring two children re-enacting West's recent interview with Zane Lowe for BBC Radio 1 in which he called himself the biggest rock star on the planet. Kimmel reported the next night that West called him to apologize before the taping.",Which person was directed at Twitter?,jimmy kimmel,77,89
"While the largest European American population in Montana is German, pockets of significant Scandinavian ancestry are prevalent in some of the farming-dominated northern and eastern prairie regions, parallel to nearby areas of North Dakota and Minnesota. Farmers of Irish, Scots, and English roots also settled in Montana. Western Montana's historically mining-oriented communities such as Butte have a wide range of European-American ethnicities; Finns, Eastern Europeans, and especially Irish settlers left an indelible mark on the area, as well as British mining areas such as People like Cornwall, Devon and Wales. The nearby town of Helena, also established as a mining camp, had a similar mix apart from a small Chinatown. Many of Montana's historic logging communities originally attracted people of Scottish, Scandinavian, Slavic, English, and Scots-Irish descent. [citation needed].",What is the largest European-American ethnicity in Montana?,German,61,67
"There are many summer music festivals in Portugal, such as the Festival Sudoste in Zambujera do Marade, Festival de Paredes de Cora in Paredival de Cora, Boom Festival in the Municipality of Idanha-a-Nova, Boom Festival in the Municipality of Idanha-a-Nova!, Sumol. Summer festivals in Ericeira, Rock in Rio Lisboa and Super Bock Super Rock in Lisbon. In the summer season, there are a large number of festivals in Portugal, designed more for an urban audience, such as Flowfest or Hip Hop Porto. In addition, one of the largest international Goa trance festivals takes place every two years in central Portugal, Boom Festival, which is also the only festival in Portugal to win international awards: European Festival Awards 2010 – Green'Clean Festival of the Year, and 2008 and 2010 Outstanding Greener Festival Awards. Queima das Fitness' student festivals are also major events in many cities in Portugal. In 2005, Portugal hosted the MTV Europe Music Awards, held at the Pavilão Atlético, Lisbon.",What are some examples of non-summer music festivals in Portugal?,Flowfest or Hip Hop Porto,470,495
"NFL Network aired Arena Football League games partway through the 2012 season as a result of ongoing labor problems within the league. In essence, the game was broadcast on tape delay to prevent the embarrassment that would result should players stage a work stoppage immediately before a scheduled broadcast. (In at least one incident this actually happened, resulting in a non-competitive game being played with replacement players, and such incidents were further threatened.) After the labor issues were resolved, the NFL The network resumed the practice of airing a live Friday night game. NFL Network dropped the league at the end of the 2012 season.",What day was the AFL game broadcast on NFL Network?,Friday,576,582
"Individual participants have generated controversy in this contest for their past actions, or for being 'ringers' employed by the producer. Many contestants were disqualified for various reasons, such as having existing contracts or undisclosed criminal records, although the show was accused of a double standard in disqualifying some people.",What is the show accused of planting within?,ringer,104,110
"The US Senate passed a reform bill in May 2010, followed by the House in December 2009. These bills must now be reconciled. The New York Times provided a comparative summary of the features of the two bills, which address the principles outlined by the Obama administration to different extents. For example, the Volcker rule against proprietary trading is not part of the law, although the Senate bill gives regulators the discretion but not the obligation to restrict these trades.",when did u do it? The Senate passed a financial reform bill first?,May 2010,10,18
"Exposure to antibiotics early in life increases body mass in humans and mouse models. Early life is a critical period for the establishment of the intestinal microbiota and metabolic development. Mice exposed to the above antibiotic treatments (STAT) – either penicillin, vancomycin, penicillin and vancomycin, or chlortetracycline had altered composition of the gut microbiota as well as its metabolic capabilities. Additionally, research has shown that rats given low dose penicillin (1 μg/g body weight) around birth and throughout the lactation process had decreased body mass and fat mass, accelerated growth, and hepatic expression of genes involved in adipogenesis. Expression was increased in control rats. Furthermore, penicillin in combination with a high-fat diet rapidly increased insulin levels in rats. However, it is unclear whether antibiotics cause obesity in humans. Studies have found a correlation between early exposure to antibiotics (<6 months) and increased body mass (at 10 and 20 months). Another study found that the type of antibiotic exposure was also important, with those macrolides having the highest risk of overweight compared to penicillins and cephalosporins. Therefore, there is an association between antibiotic exposure in early life and obesity in humans, but whether there is a causal relationship is unclear. Although there is a correlation between antibiotic use in early life and obesity, the effect of antibiotics on obesity in humans must weigh against the beneficial effects of clinically indicated treatment with antibiotics in childhood.",When does the intestinal microbiota develop?,early life,24,34
"Whitehead and Russell originally thought that Principia Mathematica would take one year to complete; it took them ten years. To add insult to injury, when it came time for publication, the three-volume work was so massive (over 2,000 pages) and its audience so narrow (professional mathematicians) that it was initially priced at £600, 300. Which was paid for by Cambridge University Press, 200 Royal Society of London, and 50 APICE by Whitehead and Russell. Despite early losses, there is no major academic library in the world today that does not hold a copy of Principia Mathematics.",How many volumes was Principia Mathematica?,Three,189,194
"American Idol became the most expensive series on broadcast networks for advertisers starting in season four, and by the next season, it broke the record in advertising rate for a regularly scheduled prime-time network series, for a 30-second slot. Sold over $700,000, and reached $1.3 million for the finale. Its advertising prices peaked at $737,000 in the seventh season. Estimated revenues more than doubled from $404 million in season three to $870 million in season six. While it declined after the eighth season, it still grossed significantly more than its nearest competitors, with advertising revenues reaching $800 million annually over the next few seasons. However, a sharp decline in ratings in season eleven led to a sharp drop in advertising rates for season twelve and the show lost its leading position as the most expensive show for advertisers. By 2014, advertising revenue had fallen to $427 million, with a 30-second spot costing less than $300,000.",How much did Idol make in advertising revenue alone for Season 8?,800 million,47,58
"Duplications play a major role in shaping the genome. Duplication can range from the expansion of small tandem repeats all the way to the duplication of a group of genes, and to the duplication of entire chromosomes or even entire genomes. Such duplications are probably fundamental to the creation of genetic novelty.",What type of generation of genetic material has a large part in making the genome what it is?,revision,290,298
"Polytechnics in Singapore provide industry-oriented education equivalent to junior college or sixth form college in the UK. Singapore has a system similar but not identical to that in the United Kingdom from 1970–1992, with a distinction between polytechnics and universities. Unlike the British polytechnic (United Kingdom) system, Singapore polytechnics do not offer bachelor's, master's or PhD degrees. Under this system, most Singaporean students sit for their O-level examinations after four or five years of education in secondary school, and apply for a place at a technical school, known as a polytechnic or university-preparatory. School (a junior college or Millennia Institute, a centralized institution). Polytechnic graduates may be granted transfer credit when they apply to local and foreign universities, depending on their overall performance in grades, as well as the university's policies on transfer credit. Some secondary schools are now offering a six-year program that leads directly to university entrance.",What is the name of Singapore's centralized institution that students can attend before university?,Millenia Institute,678,696
"Mounted repeats come mainly from transposable elements (TEs), but they also include some protein coding gene families and pseudotypes. Transposable elements are capable of integrating into the genome at another site within the cell. TES are believed to be an important driving force on the genome evolution of higher eukaryotes. TEs can be classified into two categories, class 1 (retrotransposers) and class 2 (DNA transposons).",What is the main source of intersection?,transposable elements,33,54
"The health benefits of dogs may result from contact with dogs in general, and not solely from dogs as pets. For example, when in the presence of a pet dog, people show reductions in cardiovascular, behavioral, and psychological indicators of anxiety. Other health benefits are derived from exposure to immune-stimulating microorganisms, which, according to the hygiene hypothesis, may protect against allergies and autoimmune diseases. The benefits of contact with a dog also include social support, as dogs are able not only to provide companionship and social support, but also to act as a means for social interaction between humans. One study indicates that wheelchair users experience more positive social interactions with strangers when they are accompanied by a dog than when they are not. In 2015, a study found that pet owners were more likely to know people in their neighborhood than non-pet owners.",What study was done that indicates people with pets are more likely to know neighbors?,2015,801,805
"According to a tradition reported by Salcard in about 1080, a church was founded on the site (which was consecrated in the 7th century, by a bishop of London, at the time of King Henry Construction of the present church began in 1245 on the orders of III.",When did the construction of the present church begin?,1245,229,233
"1762 brought two new countries to war. Britain declared war on Spain on January 4, 1762; Spain responded by issuing its own declaration of war against Britain on January 18. After Portugal joined the war on the side of Britain. Spain, aided by the French, launched an invasion of Portugal and succeeded in capturing Almeida. The arrival of British reinforcements halted another Spanish advance, and the Battle of Valencia de Alcântara saw British-Portuguese forces overrun a key Spanish supply base. The invaders were halted on the heights in front of the remains (which pass to Pasban) where the Anglo-Portuguese entered. Eventually the Anglo-Portuguese army, aided by guerrillas and practicing a scorched earth strategy, drove the Franco-Spanish army back into Spain, recovering almost all the lost cities, among them the Spanish headquarters of Castelo. Branko was left behind, full of wounded and sick.",Which city was captured in the first Spain-Portugal conflict?,"Spain, aided by the French, begins an invasion of Portugal and succeeds in capturing Almeida.",60,153
"Kanye Omari West was born on June 8, 1977 in Atlanta, Georgia. His parents divorced when he was three and he and his mother moved to Chicago, Illinois. His father, Ray West, is a former Black Panther and was one of the first black photojournalists at the Atlanta Journal-Constitution. Ray West later was a Christian counselor, and in 2006, opened Good Water Shop and Café in Lexington Park, Maryland with startup capital from his son. West's mother, Dr. Donda C. (Williams) West was professor of English at Clark Atlanta University, and chaired the English department at Chicago State University before retiring to serve as its manager. West was raised in a middle-class background, attending Polaris High School in suburban Oak Lawn, Illinois, after moving to Chicago.",What was the name of the business that Kanye West helped fund in 2006?,Good Water Shop and Cafe,102,126
"In Greek mythology, Cerberus is a three-headed watchdog who guards the gates of Hades. In Norse mythology, a bloody, four-eyed dog called Garmor guards Helheim. In Persian mythology, two four-eyed dogs guard the Chinawat Bridge. In Philippine mythology, the kimat which is the pet of Tadakalan, the god of thunder, is responsible for lightning. In Welsh mythology, annwn is protected by the củi annwn.",Who is the dog that guards Helheim?,Garmer,32,38
"Evidence from early texts suggests that Siddhartha Gautama was born into a community that was geographically and culturally on the periphery of the northeastern Indian subcontinent in the fifth century BCE. It was either a small republic, in which case his father was an elected chieftain, or an oligarchy, in which case his father was an aristocrat.","If Siddhartha lived in a small republic, what would his father have been like?",elected chieftain,271,288
"By this point Frederick became increasingly concerned by the Russian advance from the east and marched to counter it. At the Battle of Zorndorf (now Sarbinowo, Poland), at the Battle of Brandenburg (now Sarbinowo, Poland), a Prussian army of 35,000 men under Frederick on August 25, 1758 fought a Russian army of 43,000 commanded by Count William Fermor. Both sides suffered heavy casualties – Prussia 12,800, Russia 18,000 – but the Russians withdrew, and Frederick won. In the indecisive Battle of Torno on 25 September, a Swedish army repulsed six attacks by a Prussian army but did not push on to Berlin until after the Battle of Fehrbellin.",How did Frederick respond to the Russian occupation of East Prussia?,marched to counter it,95,116
"Reincarnation refers to a process whereby beings go through a succession of afterlife as one of several possible forms of life, each lasting from conception to death. The doctrine of anatta (Sanskrit anathaman) rejects the concepts of a permanent self or an unchangeable, eternal soul, as it is called in Hinduism and Christianity. According to Buddhism ultimately there is no such thing as a self independent from the rest of the universe. Buddhists also refer to themselves as believers of the Anatta doctrine—Nairetamyavadin or Anattvadin. Reincarnation in subsequent existences should be understood as a continuation of the dynamic, ever-changing process of pratityasamutpada (""dependent arising"") determined by one existence (karma) rather than as a function of rebirth from one existence to the next.","What does the term ""dependent generation"" mean?",Countermeasures,86,101
"West got his big break in the year 2000, when he began producing for artists on Roc-A-Fella Records. West came to recognition and is often credited with reviving Jay-Z's career with his contributions to the rap mogul's influential 2001 album The Blueprint. Blueprint is consistently one of the greatest hip-hop albums of all time, and the album's critical and financial success generated substantial interest in West as a producer. Working as an in-house producer for Roc-A-Fella Records, West produced records for other artists from the label, including Beanie Sigel, Freeway, and Cam'ron. He also produced hit songs for Ludacris, Alicia Keys, and Janet Jackson.",Which album did Kanye receive production credits on in 2001?,blueprint,246,255
"Since the 1980s it has become common for social and cultural anthropologists to set out ethnographic research in the North Atlantic region, often examining connections between places rather than confining research to a single locale. There has also been a related shift towards expanding the focus beyond the daily lives of ordinary people; increasingly, research is set in settings such as scientific laboratories, social movements, governmental and NGO organizations, and businesses.",Government and NGOs and businesses are all fair game to do what are the settings?,Research,101,109
"The Minority Leader has many formal and informal party responsibilities. Formally, each party's rules specify certain roles and responsibilities for their leader. For example, under Democratic rules for the 106th Congress, the minority leader can call meetings of the Democratic caucus. He or she is a member of the Democratic Congressional Campaign Committee; names members of the Democratic Leadership Council; chairs the policy committee; and leads the steering committee. Examples of other assignments are making ""recommendations to the Speaker on all Democratic nominations"" that nominate party members to committees on rules and house administration. Republican rules identify generally comparable tasks for their top party leader.",What committee is the Minority Leader chair according to the democratic rules of the 106th Congress?,policy committee,350,366
"Ethical commitments in anthropology include noting and documenting genocide, infanticide, racism, mutilation (including circumcision and subjugation), and torture. Topics such as racism, slavery, and human sacrifice draw attention to anthropology and have been proposed to extend from nutritional deficiencies to genes, not to mention theories of colonialism and many others as the root causes of man's inhumanity. Not in form. To illustrate the depth of an anthropological approach, one can take one of these topics, such as ""racism"" and find thousands of anthropological references, spanning all major and minor subfields.",What kind of anthropological commitment is observing and documenting genocide?,Moral,594,599
"One of the more prominent contestants this year was Chris Medina, whose story about caring for his brain-damaged fiancee received wide coverage. Medina was cut in the top 40 round. Casey Abrams, who suffers from ulcerative colitis, was hospitalized twice and missed the Top 13 results show. The judges used their one save on Abrams in the Top 11, and as a result this was the first season that the final 11 went on the tour instead of the 10. In the following week, both Naima Adedapo and Thea Mejia were eliminated the following week.",Which contestant was suffering from ulcerative colitis?,casey abrams,181,193
"Later wax effigies include a likeness of Horatio, Viscount Nelson, wearing some of his clothes and another of Prime Minister William Pitt, Earl of Chatham, modeled by the American-born sculptor Patience Wright. [citation needed] During the recent conservation of the effigy of Elizabeth I, a unique corset dating from 1603 was found on the figure and is now displayed separately. [citation needed].",What is Viscount Nelson wearing?,some of your clothes,75,95
"The thirteenth season premiered on January 15, 2014, with Ryan Seacrest returning as host. Randy Jackson and Keith Urban returned, although Jackson moved from the judging panel to the role of in-mentor. Mariah Carey and Nicki Minaj left the panel after one season. Former Judge Jennifer Lopez and Former Counsel Harry Connick, JR. Joined Urban on the panel. Additionally, Nigel Lithgow and Ken Warwick were replaced as executive producers by Jesse Ignjatovic and Ivan Risger, per Ruin. Bill Deronde replaced Warwick as director of the audition episodes, while Louis J. Horvitz replaced Gregg Gelfand as a director of the show.",When does season 13 premiere?,"January 15, 2014",35,51
"In 14th-century England, hound (from Old English: hund) was the general term for all domestic canines, and dog referred to a group including the mastiff, a subtype of hound. It is believed that this ""dog"" type was so common, it eventually became the prototype of the ""hound"" category. By the 16th century, dog had become the generic term, and hound had begun to refer only to types used for hunting. The word ""hound"" is ultimately derived from the Proto-Indo-European word *kwon- ""dog"".",What was the 14th century word for dogs for English speakers?,hound,25,30
"Low interest rates encouraged borrowing. From 2000 to 2003, the Federal Reserve reduced the federal funds rate target from 6.5% to 1.0%. This was done to soften the effects of the collapse of the dot-com bubble and the terrorist attacks of September 2001, as well as to deal with the perceived risk of deflation. By early 2002 it was clear that the credit was promoting housing rather than business investment as some economists went as far as to advocate that the Fed needed to ""create a housing bubble to replace the Nasdaq bubble"". Furthermore, empirical studies using data from advanced countries show that excessive debt growth contributed greatly to the severity of the crisis.","In the early 2000s, what kind of economics did some economists believe the Fed needed to prepare to reverse the Nasdaq bubble?",a housing bubble,204,220
"Piraeus handled 513,319 TEU in 2010, followed by Thessaloniki, which handled 273,282 TEU. In the same year, 83.9 million people passed through the ports of Greece, 12.7 million through the port of Palaukia in Salamis, another 12.7 through the port of Perama, 9.5 million through Piraeus and 2.7 million through Igoumenitsa. In 2013, Piraeus handled a record 3.16 million TEU, the third highest figure in the Mediterranean, of which 2.52 million were moved via Cosco-owned Pier II and 644,000 via Greek state-owned Pier I. Was taken through.",How much did Thessaloniki handle in 2010?,"273,282",77,84
"After a peak in growth in 1979, the Liberian economy declined steadily due to economic mismanagement following the 1980 coup. This decline was accelerated by the outbreak of the civil war in 1989; GDP was reduced by an estimated 90% between 1989 and 1995, one of the sharpest declines in history. At the end of the war in 2003, GDP growth began to reach 9,. 4% in 2007. The global financial crisis slowed GDP growth 4. 6% in 2009, although growth was driven by a strong agricultural sector led by rubber and timber exports. 1% in 2010 and an expected 7. 3% in 2011, making the economy one of the 20 fastest growing in the world.",By what percentage did Liberia's GDP decrease during the civil war?,90%,229,232
"In the first three seasons, the semi-finalists were divided into different groups at different times. In the season, there were three groups of ten, with the top three contestants from each group making the finals. In seasons two and three, there were four groups of eight, and the top two of each selected. These seasons also included a wildcard round, where participants who failed to qualify were given another chance. In Season One, only one wildcard contestant was chosen by the judges, giving a total of ten finalists. In seasons two and three, each of the three judges championed one contestant with the fourth advancing to the finals, making 12 finalists in all.",How did the semi-finals perform in season one?,three groups of ten,13,32
"The original post-punk movement ended as the bands associated with the movement moved away from its aesthetics, often in favor of more commercial sounds. Many of these groups would continue recording as part of the new pop movement, with entryism becoming a popular concept. In the United States, driven by MTV and modern rock radio stations, many post-punk acts were influenced by or became part of the second British Invasion of ""new music"". Some shifted to a more commercial new wave sound (such as Gang of Four), while others were fixtures on American college radio and became early examples of alternative rock. Perhaps the most successful band to emerge from post-punk was U2, who combined elements of religious imagery with political commentary in their often anthemic music.",When did many types of music begin to include many post-punk bands?,pop,219,222
"On April 21, Communist forces crossed the Yangtze River. On April 23, 1949, the communist People's Liberation Army (PLA) captured Nanjing. The KMT government retreated to Canton (Guangzhou) by 15 October, Chongqing by 25 November, and then Chengdu before retreating to Taiwan on 10 December. By late 1949, the PLA was chasing the remnants of KMT forces southward into southern China, and only Tibet was left. After the founding of the People's Republic of China in October 1949, Nanjing was initially a province-level municipality, but was soon merged into Jiangsu Province and then became the provincial capital, moving to Zhenjiang in 1928. And that status is maintained to this day.",When did the communist People's Liberation Army (PLA) conquer Nanjing?,"April 23, 1949",3,17
"Economists Paul Krugman and U. Treasury Secretary Timothy Geithner explains the credit crisis through the implosion of the shadow banking system, which had become equal in importance to the traditional commercial banking sector described above. Without the ability to obtain investor funds in exchange for most types of mortgage-backed securities or asset-backed commercial paper, investment banks and other institutions in the shadow banking system cannot provide funds to mortgage firms and other corporations.",The shadow banking system could not provide funding to mortgage firms and other corporations without the ability to obtain which funds?,investor fund,72,85
"The Arsacid Kingdom of Armenia, which was a branch of the Arsacid dynasty of Parthia, was the first state to adopt Christianity as its religion (it was a follower of earlier Armenian paganism, influenced by Zoroastrianism, while later adopting some elements). while adopting the identification of their pantheon with Greco-Roman gods). In the early years of the fourth century, likely AD 301, it seems partly in defense of the Sassanids. In the late Parthian period, Armenia was a predominantly Zoroastrian-adherent land, but by Christianization, Zoroastrianism and paganism, already dominant in Armenia, was gradually rejected. Later, to further strengthen Armenian national identity, Mesopotamia invented the Armenian alphabet in 405 AD. This event marked the beginning of Armenia's Golden Age, during which many foreign books and manuscripts were translated into Armenian by Mesop's pupils. Armenia lost territory to the rival Byzantine and Sassanid Persian empires in 428 AD, until the Muslim conquests in Persia also included areas in which Armenians lived.",When did Armenia make Christianity its official religion?,advertising 301,13,28
"Biological anthropologists are interested in both human diversity and in the possibility of human universals (behaviors, thoughts or concepts shared by virtually all human cultures). They use many different methods of study, but modern population genetics, participant observation, and other techniques often have anthropologists ""in the field"", which means traveling to a community in its setting, doing something called ""fieldwork"". For. ""On the biological or physical side, human measurements, genetic samples, nutritional data can be collected and published as articles or monographs.",Where might an anthropologist conduct participant observation?,In area,27,34
"Teen Sanjay Malkar was the most talked about character of the season for his unusual hairdo, and for managing to avoid elimination by several weeks thanks to the weblog vote for worst and satellite radio personality Howard Stern, who both had fans vote for him. Encouraged to give. However, on 18 April, Sanjay was voted out.",Which contestant was talked about more than any other this season?,Sanjay Malkar,5,18
"As of August 2015, among 118,016 congregations, Jehovah's Witnesses report an average of 8.2 million publishers—a term they use for members actively involved in the preaching work. In 2015, these reports indicated more than 1.93 billion hours were spent in evangelism and ""Bible study"" activity. Since the mid-1990s, the number of peak publishers has increased from 4.5 million to 8.2 million. That same year, he conducted ""Bible studies"" with over 9.7 million individuals, conducted by Witness parents with their children. Jehovah's Witnesses estimate their current worldwide growth rate at 1.5% per year.",How many publishers did Jehovah's Witnesses have as of August 2015?,20 lakhs,347,355
"From 2004 to 2007, the top five U.S. Each of the investment banks significantly increased their financial leverage (see diagram), thereby increasing their sensitivity to financial shocks. Changes in capital requirements, aimed at the U.S. To keep banks competitive with their European counterparts, it allowed lower risk weights for AAA securities. The shift from first-loss tranches to AAA tranches was seen by regulators as a reduction in risk that compensated for the higher leverage. These five institutions reported debt of over $4.1 trillion for fiscal year 2007, approximately 30% of the nominal GDP of the United States for 2007. Lehman Brothers went bankrupt and was liquidated, Bear Stearns and Merrill Lynch were sold at fire-sale prices, and Goldman Sachs and Morgan Stanley became commercial banks, subjecting themselves to more stringent regulation. With the exception of Lehman, these companies required or received government support. Lehman reported that it was in talks with Bank of America and Barclays about a possible sale of the company. However, both Barclays and Bank of America ultimately declined to purchase the entire company.",Investment banks increased their financial leverage and also increased their vulnerability?,financial shock,96,111
"The success of American Idol has been described as ""unparalleled in broadcasting history"". The series was also hailed by a rival TV executive as ""the most influential show in the history of television"". It has become a recognized springboard to launch the careers of many artists as bona fide stars. According to Billboard magazine, in its first ten years, ""IDOL has produced a platoon of 345 Billboard chart-toppers and pop idols, including Kelly Clarkson, Carrie Underwood, Chris Daughtry, Fantasia, Ruben Studdard, Jennifer Hudson, Clay Aiken, Adam Lambert and Jordan Sparks during a TV ratings juggernaut.","Who said that American Idol is ""the most influential show in the history of television?""",a rival TV executive,123,143
"Consolidation of the ""Hot AC"" format with the near-demise of most other AC formats: Beginning with the 2005–2007 economic downturn and the eventual recession most stations went to a more chart-based CHUR, along with Top 40, urban There were and even Latino formats. Declining physical record sales also proved a major blow to the AC genre.",Is the AC format still viable?,hot ac,21,27
"Macau: The event was held in Macau on 3 May. This was the first time that the Olympic torch had traveled to Macau. A ceremony was held at Macau Fisherman's Wharf. Afterwards, the torch traveled through Macau, visiting the A-MA Temple, Macau Tower, Ponte Governador Nobre de Carvalho, Ponte de Sai Van, Macau Cultural Centre, Macau Stadium and then returning to Fisherman's Wharf for the finale. Ceremony passing through the sites. Parts of the route near the ruins of St. Paul and Taipa were cut short due to large crowds of supporters blocking the narrow streets. A total of 120 torchbearers participated in the event, including casino tycoon Stanley Ho. Leng Hong Man and Leung Heng Teng were the first and last torchbearers in the relay respectively. An article published on the Macau Daily News criticized that the torch list could not fully represent the Macanese and that there were too many non-athletes among the torchbearers. (Some of whom had already been torchbearers at other sporting events).",A newspaper article criticized What kind of person was not good enough to carry the torch?,athlete,1,8
"Although the Arnfotbol 2 League played its tenth season in 2009, a conference call in December 2008 resulted in enough votes from the owners and cooperation from the AFLPA for the AFL to extend the entire 2009 season as part of ""a long-term plan to improve ""Can create economic models"". In doing so, the AFL became the second sports league to cancel an entire season, after the National Hockey League canceled its 2004–05 season because of the lockout. The AFL also became the third sports league to lose its postseason (the first being Major League Baseball, which lost its postseason due to a strike in 1994). Efforts to revamp the league's business model were led by Columbus Destroyers owner Jim Renacci and interim commissioner Pauly.",Was the National Hockey League season cancelled?,2004-05,414,421
"During the summers of Nohant, especially the years 1839–43, Chopin found quiet, productive days, during which he composed several works, including his Polonaise in A flat major, Op. 53. Among Nohant's visitors were Delacroix and the mezzo-soprano Pauline Vihardot, whom Chopin advised on piano technique and composition. Delacroix gives an account of his stay at Nohant in a letter dated 7 June 1842:",Delacroix wrote a letter based on his visit to Nohant?,7 June 1842,390,401
"The history of Indian Buddhism can be divided into five periods: early Buddhism (sometimes called pre-sectarian Buddhism), Nikaya Buddhism or sectarian Buddhism: the period of the early Buddhist schools, Mahayana Buddhism, later in Mahayana Buddhism, and esoteric Buddhism (called Bhivajaren Buddhism).",What is the last period of Buddhism?,esoteric buddhism,22,39
"The year 1759 saw several Prussian defeats. At the Battle of Kay, or Paltzig, Russian Count Saltykov with 47,000 Russians defeated 26,000 Prussians commanded by General Karl Heinrich von Wessel. Although the Hanoverians defeated a force of 60,000 French at Minden, the Austrian general Daun forced the surrender of the entire Prussian corps of 13,000 at the Battle of Maxen. Frederick himself lost half his army at the Battle of Kunerdorf (now Kunowice Poland), the worst defeat in his military career and one that drove him to suicidal humiliation and suicidal inclinations. The disaster resulted partly from the Russians' own miscalculation, who had already demonstrated their strength at Korndorf and Gross-Jägersdorf (now Motornoye, Russia), and partly from good cooperation between the Russian and Austrian forces.",How did the Prussian army perform in 1759/?,1759 saw several Prussian defeats,18,51
"A self-described ""modern day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led critics to hail her as one of the finest entertainers in contemporary popular music. During a career spanning 19 years, he has sold over 118 million records as a solo artist, and 60 million with Destiny's Child, making him one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the history of the awards. The Recording Industry Association of America recognized him as the top certified artist in the US during the 2000s. In 2009, Billboard named her Top Radio Songs Artist of the Decade, Top Female Artist of the 2000s, and in 2011 their Artist of the Millennium. Time listed him among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.",Which magazine declared her the most prominent female composer?,forbes,959,965
